Connector,name
NQ34,
NQ35,
NQ36,
NQ37,
NQ38,
NQ39,
NQ40,
NQ41,
NQ42,
NQ43,
NQ44,
NQ45,
NQ46,
NQ47,
NQ48,
NQ49,
NQ50,
NQ51,
NQ52,
NQ53,
NQ54,
NQ55,
NQ56,
NQ57,
NQ58,
NQ59,
NQ60,
NQ61,
NQ62,
NQ63,
NQ64,
NAQ1,
NAQ2,
NAQ3,
NAQ4,
NAQ5,
NAQ6,
NAQ7,
NAQ8,
NAQ9,
NAQ10,
NAQ11,
NAQ12,
NAQ13,
NAQ14,
NAQ15,
NAQ16,
M1,
M2,
M3,
M4,
M5,
M6,
M7,
M8,Initialization Flag
M9,
M10,
M11,
M12,
M13,
M14,
M15,
M16,
M17,
M18,
M19,
M20,
M21,
M22,
M23,
M24,
M25,LOGO! displays white backlight
M26,LOGO! TD white backlight
M27,Message Character Set Flag
M28,LOGO! displays the amber backlight
M29,LOGO! displays red backlight
M30,LOGO! TD amber backlight
M31,LOGO! TD red backlight
M32,
M33,
M34,
M35,
M36,
M37,
M38,
M39,
M40,
M41,
M42,
M43,
M44,
M45,
M46,
M47,
M48,
M49,
M50,
M51,
M52,
M53,
M54,
M55,
M56,
M57,
M58,
M59,
M60,
M61,
M62,
M63,
M64,
AM1,
AM2,
AM3,
AM4,
AM5,
AM6,
AM7,
AM8,
AM9,
AM10,
AM11,
AM12,
AM13,
AM14,
AM15,
AM16,
AM17,
AM18,
AM19,
AM20,
AM21,
AM22,
AM23,
AM24,
AM25,
AM26,
AM27,
AM28,
AM29,
AM30,
AM31,
AM32,
AM33,
AM34,
AM35,
AM36,
AM37,
AM38,
AM39,
AM40,
AM41,
AM42,
AM43,
AM44,
AM45,
AM46,
AM47,
AM48,
AM49,
AM50,
AM51,
AM52,
AM53,
AM54,
AM55,
AM56,
AM57,
AM58,
AM59,
AM60,
AM61,
AM62,
AM63,
AM64,
